DIETS,Polar bears,Toothed whales,Gray whale,Bowhead whale,Walrus/bearded seal,Wintering seals,Procellarids,Cormorants,Other seabirds,Larids,Alcids piscivorous,Alcids planktivorous,Lg.-mouth flatfish,Sm.-mouth flatfish,Lg.-mouth sculpins,Other sculpins,Eelpouts,Pelagic forage fish,Misc. shallow fish,Other demersals,Skates,Walleye pollock,Pacific cod,Arctic cod,Snow crab,Bivalves,Snails,Other crabs,Shrimps,Sea stars,Brittle stars,Basket stars,"Urchins, dollars, cucumbers",Sponge,Anemones,Benthic urochordate,Corals and sea pens,Scyphozoid jellies,Octopods,Salmon outgoing,Salmon returning,Benthic amphipods,Polychaetes,Worms etc.,Misc. crustaceans,Copepods,Other zooplankton,Pelagic microbes,Benthic microbes,Primary production
Polar bears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toothed whales,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray whale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowhead whale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walrus/bearded seal,0.25,,,,0.000212616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wintering seals,0.65,,,,0.000504327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procellarids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cormorants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other seabirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcids piscivorous,,,,,,,,,,0.004651598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcids planktivorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg.-mouth flatfish,,,,,0.006081153,0.000781252,,,,,0.009612602,,,,,,,,,0.005322316,0.02487342,,0.001472492,0.006102135,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm.-mouth flatfish,,,,,0.006081153,0.000781252,,,,,0.009612602,,,,,,,,,0.01650201,0.06433967,,0.01072673,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg.-mouth sculpins,,0.009999999,,,0.01659991,0.0410623,,,,0.001718235,0.07135769,,,,,,0.04798269,0.005778736,,0.04407414,0.02363462,,0.006649494,0.006265168,,,,,,,,,,,,,,,,,,,,,,,,,,
Other sculpins,,0.009999999,,,,0.008492618,,,,0.001718235,0.07133969,,,,0.206761,,0.000789418,0.004220617,,0.05228622,0.000336991,,0.004856593,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelpouts,,0.009999999,,,,,,,,,,,,,0.08932029,,,,,0.003859158,0.04130904,,0.004297453,0.003560629,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelagic forage fish,,0.5544065,,,0.000657422,0.06911467,0.05867733,0.25,,0.3324589,0.2731979,,,,,0.03727878,,,,0.05182033,0.05281629,,,0.04948226,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. shallow fish,,0.03590742,,,0.00509502,0.3092427,,0.25,,0.0267805,0.2405652,,0.3332412,,0.2435342,,0.07879899,0.1874234,0.06125135,0.07786866,0.01548537,,0.06349141,0.002147306,,,,,,,,,,,,,,,,,,,,,,,,,,
Other demersals,,,,,,0.001981432,,,,0.007045029,0.006587705,,,,0.01485121,,0.000345366,,,0.09428567,0.005443891,,0.00277255,0.002785945,,,,,,,,,,,,,,,,,,,,,,,,,,
Skates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walleye pollock,,,,,,,,,,,,,,,,,,,,,,,0.000578866,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific cod,,,,,,,,,,,,,,,,,,,,,0.001371445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic cod,,0.2796861,,,0.002410548,0.4286107,0.06969959,0.25,,0.5012766,0.2594775,,0.2409175,,,,,,,0.005050726,0.2729864,0.5366726,0.1560087,0.008183806,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow crab,,,0.000256674,0.000113781,0.07158563,,,,,,,,,0.0265204,0.07528889,0.00226101,,,,0.01153278,0.2568457,,0.1453266,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
Bivalves,,,0.0433623,0.01922197,0.5941439,,,,,1.53E-06,2.65E-06,,0.00729814,0.3710207,,0.001438914,0.000389389,,0.04453,0.001736895,1.76E-05,,0.001407035,4.30E-05,0.2075,,0.5,0.25,0.15,0.5154778,0.125,,,,0.2,,,,0.25,,,,,,,,,,,
Snails,,,0.004340004,0.00192387,0.04782695,,,,,0.005283926,0.003017653,,,0.000498679,,0.006792177,,,0.000733818,,5.89E-05,,0.001507538,,0.0326,,,,,0.05159265,,,,,,,,,0.25,,,,,,,,,,,
Other crabs,,,7.88E-05,3.49E-05,0.02207871,,,,,0.005283772,0.003044799,,,0.000157228,0.1497352,0.05728141,0.002116573,0.000288189,0.005869959,0.02178959,0.06081963,,0.0525628,0.001098868,0.0411,,,,,,,,,,,,,,0.25,,,,,,,,,,,
Shrimps,,0.09993257,1.25E-05,5.55E-06,0.08408973,0.09176343,,0.25,,0.01060208,0.009951027,,0.1977302,,0.1319228,0.01229081,0.01550181,0.009836816,0.1471351,0.181513,0.1139477,0.1423735,0.2859297,0.1600893,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea stars,,,0.004000351,0.001773306,,,,,,,,,,,,,,,,,,,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,
Brittle stars,,,0.003698438,0.001639472,,,,,,,,,,0.03040408,1.92E-05,0.005426886,,,,,6.06E-06,,,,0.05895,,,,,,,,,,,,,,,,,,,,,,,,,
Basket stars,,,0.00014616,6.48E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urchins, dollars, cucumbers",,,0.02290767,0.01015469,0.05747112,,,,,,,,,0.05108213,,,,,,,0.000107293,,,,0.0081,,,,,0.2723194,,,,,,,,,,,,,,,,,,,,
Sponge,,,0.000249278,0.000110502,,,,,,,,,,,,,,,,,,,,,0.00275,,,,,,,,,,,,,,,,,,,,,,,,,
Anemones,,,0.002641741,0.001171051,,,,,,,,,,,,0.06376915,,,,,1.18E-05,,,,0.00115,,,,,,,,,,,,,,,,,,,,,,,,,
Benthic urochordate,,,0.002641741,0.001171051,0.006627641,,,,,,,,,,,,,,,,0.00021469,,,,,,,,,0.03140422,,,,,,,,,,,,,,,,,,,,
Corals and sea pens,,,2.54E-06,1.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scyphozoid jellies,,,,,,,,,,,,0.0192604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopods,,0.000067419,,,0.007169423,0.001830349,,,,,,,,,,,,,,,6.64E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon outgoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon returning,,,,,,,,,,,,,,,,,,,,,0.02096798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benthic amphipods,,,0.9,0.005671234,0.03530366,0.03725448,0.002204452,,0.1,0.03446057,0.02325702,,0.0252337,0.1203165,0.0703186,0.4825385,0.2814546,0.01338544,0.4361333,0.3160916,0.03019983,0.0429575,0.137789,0.09571919,0.05525,,0.05,,0.15,,0.125,0.25,,,0.2,,,,,,,,,,,,,,,
Polychaetes,,,0.01086888,0.00481804,0.03047494,,,,,0.02371788,0.008201232,,0.04969615,0.3519998,0.01052774,0.2352545,0.5376897,0.004593154,0.1107291,0.1004426,0.007359331,,0.06924623,0.004512317,0.27195,,0.3,0.25,0.15,0.1292059,0.125,,,,,,,,,,,,,,,,,,,
Worms etc.,,,0.002226611,0.000987029,0.005586154,,,,,,,,,0.008323649,,0.06003539,,,0.02272738,0.000147471,,,,,0.03125,,0.05,0.25,,,,,,,,,,,,,,,,,,,,,,
Misc. crustaceans,,,0.002566263,0.001137593,,,,,,0.00012475,,,,0.03681871,0.006913655,0.007458307,0.00088703,0.000632304,0.06850621,0.003324673,0.000133681,0.03436605,0.001507538,0.01197542,0.01425,,0.05,,0.15,,0.125,0.25,,,0.2,,,,,,,,,,,,,,,
Copepods,,,,0.7125,,,0.004408904,,0.45,,,0.3485923,9.47E-06,9.85E-05,,,5.11E-07,0.3125479,0.01474068,0.000178091,0.000000209,0.1472829,,0.3724843,,,,,,,,0.25,,,,,,0.675,,0.5,0.5,,,,,,0.25,,,
Other zooplankton,,,,0.2375,,0.009084825,0.8650097,,0.45,0.02627006,0.01077462,0.6321473,0.1458736,0.002759635,0.000807251,0.02817404,0.03404389,0.4612935,0.08764321,0.01217405,0.006646099,0.0963475,0.05386934,0.2755505,0.0041,,,,,,,0.25,,,,,,0.225,,0.5,0.5,,,,,,,,,
Pelagic microbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.5,0.15,,,
Benthic microbes,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,0.25,0.2,0.25,0.25,,,,,0.5,0.5,0.5,0.5,,,,,
Primary production,,,,,,,,,,,,,,,,,,,,,,,,,0.0039,,,,,,,,0.25,,,,,0.05,,,,,,,,0.5,0.6,0.7,,
Pelagic detritus,,,,,,,,,,0.005581916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,
Benthic detritus,,,,,,,,,,0.01302447,,,,,,,,,,,,,,,0.26565,0.75,0.05,0.25,0.4,,0.5,,0.75,0.75,0.2,0.75,0.75,,,,,0.5,0.5,0.5,0.5,,,,1,
Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
