DIETS,Toothed whales,Gray whales,Other baleen,Bowhead whales,Other pinnipeds,Walrus/bearded seal,Wintering seals,Procellarids,Alcids piscivorous,Larids,Alcids planktivorous,Other seabirds,Cormorants,Sharks,Walleye pollock,Pacific cod,Pelagic forage fish,Lg.-mouth flatfish,Sm.-mouth flatfish,Skates,Other demersals,Eelpouts,Lg.-mouth sculpins,Other sculpins,Misc. shallow fish,Octopods,Squids,Salmon returning,Salmon outgoing,Other crabs,Snow crab,Shrimps,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Misc. crustacean,Benthic amphipods,Anemones,Corals and sea pens,Worms etc.,Benthic urochordate,Sponge,Bivalves,Polychaetes,Scyphozoid Jellies,Other zooplankton,Copepods,Pelagic microbes,Benthic microbes,Primary production
Toothed whales,6.47E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray whales,0.000133081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other baleen,0.002040034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowhead whales,2.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other pinnipeds,0.000205117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walrus/bearded seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wintering seals,,,,,,0.001017812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procellarids,,,,,,,,6.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcids piscivorous,,,,,,,,0.00059265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larids,,,,,,,,5.28E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcids planktivorous,,,,,,,,0.000120655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other seabirds,,,,,,,,7.00E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cormorants,,,,,,,,1.03E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharks,0.000239291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walleye pollock,0.1698044,,0.08070278,,0.2811362,,0.4888999,0.1655044,0.2614391,0.2021952,0.002550183,0.1678919,0.02434087,0.2,0.08240532,0.2243627,,0.5571692,0.03047612,0.4114217,0.004290166,0.00395613,0.1298186,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,
Pacific cod,0.01947363,,,,0.01366742,,0.0049334,0.007216445,0.1888303,0.008816263,0.000111195,0.007320547,0.001061329,,0.000594541,0.00446721,,0.006268422,3.22E-05,0.006085007,,,0.000913099,0.04028247,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelagic forage fish,0.2487804,,0.1201802,,0.2320068,,0.1287617,0.3508018,0.3939846,0.6618846,0.05411142,0.3104237,0.931414,,0.005597626,0.03139776,,0.0777799,0.04213176,0.0297038,0.004689368,0.01307451,0.08628711,,,,0.15,,,,,,,,,,,,,,,,,,,0.008,,,,,
Lg.-mouth flatfish,0.001034033,,,,5.86E-06,,,,,,,,,0.2,0.000824726,0.001458564,,0.002081271,6.93E-05,0.02431003,1.60E-06,,0.000360408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm.-mouth flatfish,0.006842509,,,,0.08088505,,0.0394672,,,,,,,,0.000164344,0.02012908,,0.02068678,0.000488947,0.09006111,0.000020214,7.38E-06,0.03985396,0.009723351,0.007394266,,,,,,,,,,,,,,,,,,,,,,,,,,
Skates,0.003475559,,,,,,,,,,,,,,,5.18E-07,,1.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other demersals,0.005536608,,,,0.01134714,,,0.000564447,0.000998577,0.000999001,0.001003092,0.000032534,0.00084674,0.2,4.84E-07,0.001655552,,0.001043523,,,0.000351201,,5.16E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelpouts,0.141124,,,,0.008174762,,0.05969413,,,,,,,,0.000426192,0.03098069,,0.04269749,0.001878417,0.08047485,3.13E-06,0.01845699,0.03330814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg.-mouth sculpins,,,,,,,,,,,,,,,7.54E-06,0.001176434,,0.0002093,1.93E-05,0.000021452,0.000121231,,0.001836508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other sculpins,0.05504273,,,,0.01009857,,0.07893439,,,,,,,,0.000323667,0.01049386,,0.01287026,0.001030404,0.02096508,0.000147024,0.01351007,0.02105363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. shallow fish,0.03660734,,0.01555704,,0.02213815,,0.09866799,,,,,,,0.02,8.52E-05,0.003238108,,0.004294502,0.000809832,0.007287188,5.99E-06,0.000986537,0.01898878,0.04985736,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopods,0.005624069,,,,0.02070426,0.01017812,0.009866798,,,,,,,0.02,2.62E-05,0.005013016,,0.000651224,7.19E-05,,0.000360057,,0.01435832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squids,0.2922446,,0.002097894,,0.2519298,,0.00049334,0.4435776,0.03470331,0.006531665,0.00074037,0.503465,,0.2,0.001616147,0.00071992,,0.07333685,0.00012839,2.53E-05,0.2840489,,6.85E-05,,,,,0.2,,,,,,,,,,,,,,,,,,0.001,,,,,
Salmon returning,0.01169868,,0.005824628,,0.008696572,,,,,,,,,0.05,,0.001279095,,,,0.02247792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon outgoing,7.14E-08,,3.56E-08,,0.008696572,,,,,,,7.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other crabs,,0.002564021,,0.001170194,0.01055097,0.006252694,0.009866799,,,,,,0.000783198,0.0025,0.001008549,0.1117827,,0.01110253,0.01499601,0.05703641,0.001302062,0.008096965,0.06165776,0.05453778,0.000531343,0.15,,,,0.005500491,0.06013035,,0.01,,,,,,,,,,,,,,,,,,
Snow crab,,0.001909877,,0.000871649,0.000698742,0.003925424,,,,,,,0.00121494,,1.81E-05,0.05749471,,0.004300768,0.004455289,0.0300742,,0.09333689,0.03866288,,,0.05,,,,,,,0.005,,,,,,,,,,,,,,,,,,
Shrimps,,0.01358641,,0.006200707,0.02408229,0.02035623,0.0542674,,,,,,0.0086428,0.005,0.03297897,0.1420867,0,0.05616299,0.08154,0.07128841,0.2867417,0.01367033,0.1972778,0.5433436,0.225388,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
Sea stars,,0.001959092,,0.000894111,,,,,,,,,,,2.83E-05,0.00012312,,1.04E-08,3.16E-06,0.00055577,4.92E-06,,5.38E-05,,,,,,,0.000382242,0.000603733,,,,,,,,,,,,,,,,,,,,
Brittle stars,,0.002253839,,0.00102863,,,,,,,,,,,3.63E-05,0.000185201,,6.63E-05,0.05973076,5.11E-05,2.43E-06,0.1822525,0.000102108,0.000181826,,,,,,0.01228855,0.07161608,,0.03,,,,,,,,,,,,,,,,,,
Urchins dollars cucumbers,,0.000840129,,0.000383427,0.01513655,,,,,,,,,,1.25E-07,0.000107477,,5.44E-06,0.02279872,8.06E-08,,,2.12E-05,,,,,,,0.01201729,0.007422531,,,,,,,,,,,,,,,,,,,,
Snails,,0.000502282,,0.000229237,2.21E-05,0.0610687,,,,,,,,0.0025,0.000179459,0.004685467,,0.000333693,0.007431038,0.000301499,0.000000029,,0.001372771,,,0.4,,,,0.01685826,0.04829947,,0.005,,,,,,,,,,,,,,,,,,
Misc. crustacean,,0.006993907,,0.003191952,,,,0.004287296,0.009203487,0.003571809,0.00072099,3.73E-05,0.004449074,,0.007055759,0.002030444,,2.65E-05,0.02593507,0.000023285,4.31E-07,0.005357117,0.000792121,0.01442491,4.38E-05,,,,,0.001538223,0.01720634,,,,,,,,0.125,0.125,0.003506872,0.125,0.125,0.125,,,,,,,
Benthic amphipods,,0.9,,0.004360963,,,,6.32E-05,,0.004879939,0.000985044,5.10E-05,0.006078489,,0.03478977,0.1104455,2.96E-06,0.001273519,0.09940312,0.008388263,0.001051775,0.3280452,0.05959997,0.1947338,0.09178961,,,,,0.005461351,0.04782058,0.3,,0.1,,,,,0.125,0.125,0.003506872,0.125,0.125,0.125,,,,,,,
Anemones,,8.68E-05,,3.96E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001850753,,,,,,,,,,,,,,,,,,,,
Corals and sea pens,,2.11E-05,,9.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worms etc.,,0.002718438,,0.001240668,,0.1832061,0.02614701,1.69E-05,,0.001301065,0.000262628,1.36E-05,,,0.001353052,0.02704704,,0.000266081,0.09399602,5.84E-05,7.86E-07,0.02537635,0.01925321,0.03702217,,,,,,0.2085163,0.03021216,,0.01,,,0.2,,,,,,,,,,,,,,,
Benthic urochordate,,0.000281016,,0.000128253,,,,,,,,,,,1.68E-05,0.000549436,,3.16E-06,0.002288761,1.66E-06,0.000489444,,,,,,,,,0.000570783,,,,,,,,,,,,,,,,,,,,,
Sponge,,4.32E-05,,1.97E-05,,,,,,,,,,,5.47E-05,4.36E-05,,9.00E-10,9.09E-05,7.98E-06,,,,,,,,,,0.00023874,0.002601985,,,,,,,,,,,,,,,,,,,,
Bivalves,,0.04904792,,0.022385,2.21E-05,0.7139949,,0.00032442,,0.02504892,0.005056271,0.000261789,,,0.000490379,0.00165732,,0.000577568,0.08503099,2.78E-05,8.08E-06,0.05257819,0.000393605,,,0.4,,,,0.2533802,0.2524816,0.1,0.91,,,0.2,,,,,,,,,,,,,,,
Polychaetes,,0.01719198,,0.007846256,,,,0.000113714,,0.008779998,0.001772293,9.18E-05,,,0.00366851,0.03710564,3.12E-05,0.000641417,0.3154908,0.002781462,0.000225772,0.2386699,0.10978,0.02550208,1.19E-05,,,,,0.263431,0.2847306,,0.02,,,0.2,,,,,,,,,,,,,,,
Scyphozoid Jellies,,,,,,,,,,,,,,,2.91E-05,3.76E-06,,1.33E-06,0.001530271,1.47E-05,0.0001446,,7.51E-06,,0.06429844,,,,,,,,,,,,,,,,,,,,,,,,,,
Other zooplankton,,,0.5746825,0.55,,,,0.01148704,0.04877095,0.03297732,0.4103911,0.004580894,0.008569111,,0.4335781,0.1106963,0.9033016,0.09674293,0.09784253,0.000493316,0.3819539,0.001346271,0.1561293,0.01137116,0.6102213,,0.65,0.6,0.5,,0.004736442,0.2,,,,,,,,,,,,,,0.74,0.008073313,,,,
Copepods,,,0.200955,0.4,,,,0.01519615,0.06206967,0.04196949,0.5222954,0.00583,0.01259939,,0.3857745,0.001424687,0.09666412,0.000011405,0.00054752,,0.03367182,,2.77E-05,0.01865575,0.000321321,,0.2,0.2,0.5,,,,,,,,,,,,,,,,,0.15,0.25,,,,
Pelagic microbes,,,,,,,,,,,,,,,1.93E-06,8.57E-06,,,0.000224104,,,0.00065419,,0.000363653,,,,,,,,,,,,,,,,,,,,,,0.05,0.15,0.5,,,
