DIETS,Toothed whales,Gray whale,Other baleen,Other pinnipeds,Procellarids,Alcids piscivorous,Larids,Alcids planktivorous,Other seabirds,Cormorants,Sharks,Walleye pollock,Pacific cod,Pelagic forage fish,Lg.-mouth flatfish,Sm.-mouth flatfish,Skates,Other demersals,Eelpouts,Lg.-mouth sculpins,Other sculpins,Misc. shallow fish,Octopods,Squid,Salmon returning,Salmon outgoing,Other crabs,Shrimps,Sea stars,Brittle stars,"Urchins, dollars, cucumbers",Snails,Misc. crustaceans,Benthic amphipods,Anemones,Corals and sea pens,Worms etc.,Benthic urochordate,Sponge,Bivalves,Polychaetes,Scyphozoid jellies,Other zooplankton,Copepods,Pelagic microbes,Benthic microbes,Primary production
Toothed whales,0.000053212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray whale,0.000195671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other baleen,0.00161226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other pinnipeds,0.00011813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procellarids,,,,0.00001722,8.24E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcids piscivorous,,,,0.000185269,0.000886036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larids,,,,2.39E-05,0.000114203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcids planktivorous,,,,4.91E-06,2.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other seabirds,,,,7.56E-06,0.000036158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cormorants,,,,5.71E-06,2.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharks,0.000161708,,,,,,,,,,0.007149246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walleye pollock,0.003959108,,0.01536035,0.2443831,0.1994964,0.1707221,0.1374473,0.002219961,0.019285,0.000520214,0.0642318,0.01730322,0.165236,,0.2428017,0.001732163,0.05733645,0.02243403,0.003956129,0.1298187,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,
Pacific cod,0.01370258,,,0.01315614,0.03869898,0.0953234,0.02666247,0.000430635,0.003740967,0.000100913,0.01441741,4.16E-05,4.53E-05,,0.00643942,0.000612311,0.01391214,0.000445677,,0.000913099,0.04028247,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelagic forage fish,0.1161123,,0.2332085,0.3194725,0.2109555,0.5695944,0.7290136,0.0579436,0.1867094,0.9490509,0.09923565,0.05399713,0.05462447,,0.3145934,0.002486164,0.1599201,0.01277022,0.01307451,0.08628713,,,,0.15,,,,,,,,,,,,,,,,,,0.008000001,,,,,
Lg.-mouth flatfish,0.005098103,,,0.06527214,,,,,,,0.1543446,0.000791903,0.01130468,,0.01020996,1.63E-05,0.1309565,0.000628949,,0.000360408,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm.-mouth flatfish,0.001552685,,,0.01064673,,,,,,,0.01475467,0.001102062,0.006265766,,0.003265063,,0.09747098,6.51E-05,7.38E-06,0.03985396,0.009723351,0.000782896,,,,,,,,,,,,,,,,,,,,,,,,,
Skates,0.001757251,,,0.002557138,,,,,,,0.006894708,,,,,,8.46E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other demersals,0.0355815,,0.000854911,0.0275689,0.000779691,0.000999022,0.000999001,0.000999028,0.000656877,0.000999001,0.1612058,4.97E-06,0.000487305,,0.01635126,,0.007544784,0.00062241,,5.16E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelpouts,0.03762805,,,0.001576726,,,,,,,,0.000384112,0.00827353,,0.01708649,0.001052443,0.06045089,1.19E-05,0.01845699,0.03330814,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg.-mouth sculpins,,,,0.004269105,,,,,,,0.001023347,,,,0.0004592,,0.001537074,0.00074721,,0.001836508,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other sculpins,0.0239836,,,0.001656653,,,,,,,0.008203304,0.000368221,0.03324791,,0.003973727,0.002730238,0.008991601,0.001097425,0.01351007,0.02105363,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. shallow fish,0.0183782,,0.01225261,0.01958377,,,,,,,0.01196223,0.000873976,0.00369463,,0.004439839,0.00072485,0.009763914,0.000227009,0.000986536,0.01898878,0.04985735,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopods,,,,0.003456976,,,,,,,0.01923347,0.000801896,0.01928917,,0.004122138,5.58E-05,0.005395931,0.03390534,,0.01435831,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squid,0.7395499,,0.003086945,0.0333473,0.5152936,0.03660618,0.005065987,0.000737371,0.5699574,,0.03743711,0.005250731,0.004351677,,0.002514759,,0.007717871,0.02896504,,6.85E-05,,,,,0.2,,,,,,,,,,,,,,,,,0.001,,,,,
Salmon returning,0.000544865,,0.01958669,0.09488117,,,,,,,0.1593205,,,,0.01610603,,0.007721416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon outgoing,1.09E-05,,0.000391734,0.001760886,,,,,0.000253304,,,,,,,,0.000154428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other crabs,,0.00868696,,0.07330567,,,,,,0.001637441,0.03539184,0.02547316,0.2096924,,0.05080061,0.05152845,0.004317433,0.02019694,0.1014338,0.1003206,0.05453777,,0.2,,,,0.001857261,,0.015,,,,,,,,,,,,,,,,,,
Shrimps,,0.03814375,,7.59E-05,,,,,,0.01679093,0.04296356,0.1641614,0.1930464,,0.1034172,0.1775361,0.2619857,0.2075776,0.01367033,0.1972779,0.5433435,0.06150237,,,,,,,0.01,,,,,,,,,,,,,,,,,,
Sea stars,,0.000168028,,,,,,,,,3.78E-05,0.001743829,0.001815502,,5.86E-07,0.000471179,,2.18E-06,,5.38E-05,,,,,,,0.000007134,,,,,,,,,,,,,,,,,,,,
Brittle stars,,0.007993475,,,,,,,,,0.001799504,,0.000263089,,2.68E-05,0.1307027,0.000445373,1.20E-07,0.1822525,0.000102108,0.000181826,,,,,,0.003674393,,0.03,,,,,,,,,,,,,,,,,,
"Urchins, dollars, cucumbers",,0.002868994,,0.08012424,,,,,,,0.00152771,3.39E-05,1.33E-05,,0.000167073,0.04294402,,2.75E-06,,2.12E-05,,,,,,,0.002019559,,,,,,,,,,,,,,,,,,,,
Snails,,0.001471001,,,,,,,,,0.001029396,4.63E-05,0.003873213,,0.00034488,0.002924132,,0.00091642,,0.001372771,,,0.4,,,,0.002910736,,0.005,,,,,,,,,,,,,,,,,,
Misc. crustaceans,,0.00358871,,,0.002251724,0.03868497,0.002705831,0.000634075,0.000665534,0.001579755,0.000458313,0.000930434,0.003999098,,0.000181152,0.08995359,0.002523744,0.001508952,0.005357116,0.000792121,0.01442491,,,,,,0.000473233,,,,,,,,0.125,0.125,0.001585444,0.125,0.125,0.125,,,,,,,
Benthic amphipods,,0.9,,,0.000155224,,0.00744352,0.001744287,0.001830829,0.004345777,0.002902649,0.05938753,0.09548885,0.00000074,0.004069764,0.03767442,0.1267503,0.02685756,0.3280453,0.05959999,0.1947338,0.00359031,,,,,0.001832292,0.3,,0.1,,,,,0.125,0.125,0.001585444,0.125,0.125,0.125,,,,,,,
Anemones,,0.000156329,,,,,,,,,3.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corals and sea pens,,1.01E-05,,,,,,,,,,,,,,,,2.65E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worms etc.,,0.006274812,,,9.61E-05,,0.004606393,0.001079445,0.001133001,,0.006249924,6.17E-05,0.003281819,,0.000493864,0.03986195,0.0164955,0.000021125,0.02537635,0.01925321,0.03702217,,,,,,0.2279804,,0.01,,,0.2,,,,,,,,,,,,,,,
Benthic urochordate,,0.000430632,,,,,,,,,,,0.000000921,,1.83E-07,0.000503441,,0.000544108,,,,,,,,,4.46E-06,,,,,,,,,,,,,,,,,,,,
Sponge,,0.000189108,,,,,,,,,,,2.79E-05,,8.28E-07,1.27E-07,,6.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalves,,0.02344889,,,0.000368692,,0.01768009,0.00414309,0.004348645,,0.005278854,0.000192252,0.002028014,,0.000433315,0.08457874,0.002404211,5.30E-05,0.05257818,0.000393605,,,0.4,,,,0.2544916,0.1,0.91,,,0.2,,,,,,,,,,,,,,,
Polychaetes,,0.006569219,,0.002660374,0.000103289,,0.004953088,0.001160688,0.001218275,,0.001478873,0.004868158,0.05555004,7.80E-06,0.001962562,0.2496711,0.001560155,0.001169203,0.2386699,0.10978,0.02550207,,,,,,0.2717699,,0.02,,,0.2,,,,,,,,,,,,,,,
Scyphozoid jellies,,,,,,,,,,,0.005856221,1.72E-06,,,,3.28E-08,,0.004273257,,7.51E-06,,0.000036637,,,,,,,,,,,,,,,,,,,,,,,,,
Other zooplankton,,,0.5818204,,0.01520136,0.04391786,0.02999332,0.4632186,0.1048208,0.01196193,0.08262146,0.5702611,0.07453965,0.9000154,0.1908987,0.07980518,0.005273665,0.5375271,0.001346272,0.1561293,0.01137116,0.9312431,,0.65,0.6,0.5,,0.2,,,,,,,,,,,,,,0.7400001,0.006289897,,,,
Copepods,,,0.1334379,,0.01542998,0.04415208,0.03015328,0.4656892,0.1053799,0.0130131,0.04071566,0.09128769,0.000105551,0.09997606,5.90E-05,0.002411173,,0.0915686,,2.77E-05,0.01865575,0.002844756,,0.2,0.2,0.5,,,,,,,,,,,,,,,,0.15,0.25,,,,
Pelagic microbes,,,,,,,,,,,,,,,,8.87E-07,,,0.00065419,,0.000363653,,,,,,,,,,,,,,,,,,,,,0.03,0.15,0.5,,,
Benthic microbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.15,0.15,0.4955608,0.15,0.15,0.15,0.5,,,,,,
Primary production,,,,,,,,,,,,,1.78E-07,,5.42E-07,,,4.38E-07,,,,,,,,,,,,,0.25,0.2,,,,,,,,,,0.07000001,0.5937101,0.5,0.7,,
Pelagic detritus,,,,,,,0.003276177,,,,,,,,,,,,,,,,,,,,0.000732203,,,,,,,,,,,,,,,,,,0.3,,
Benthic detritus,,,,,,,,,,,0.01223919,0.000631227,0.04945371,,0.00477988,2.26E-05,0.009285232,0.00585382,0.00062444,0.008015925,,,,,,,0.2322469,0.4,,0.9,0.75,0.2,0.5,0.5,0.6,0.6,0.5012683,0.6,0.6,0.6,0.5,,,,,1,
Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
