"","Group","type","TL","Biomass","PB","QB","EE","GE","Removals"
"1","Seabirds",0,3.50900447933458,0.0149,0.098,76.75,0.00684837693466648,0.00127687296416938,1e-05
"2","Whales",0,3.36373971936918,0.454,0.031,6.976,7.10530055421344e-06,0.00444380733944954,1e-07
"3","Seals",0,4.49453133197104,0.0250000000000019,0.1,34.455,0.8,0.00290233638078653,0.002
"4","JuvRoundfish1",0,3.10999899040163,0.130424921846617,2.026,8.41401970937124,0.336817074273827,0.240788596887111,0.003
"5","AduRoundfish1",0,4.28942419748062,1.39,0.42,2.19,0.398154950325443,0.191780821917808,0.145
"6","JuvRoundfish2",0,3.10999899040163,1.23258692221178,2.1,10.9363292161299,0.0355601093440747,0.19202055447478,0.003
"7","AduRoundfish2",0,3.7680207989294,5.553,0.425,3.78,0.251277575449411,0.112433862433862,0.389
"8","JuvFlatfish1",0,3.20017680226483,0.0698805153865218,1.5,8.00756390661054,0.507898028879506,0.18732288839577,0.002
"9","AduFlatfish1",0,3.36789221824481,5.766,0.26,1.44,0.253147394540946,0.180555555555556,0.18
"10","JuvFlatfish2",0,3.20017680226483,0.0962858757346579,1.1,5.84357154761509,0.502653390009354,0.188241042492059,0.002
"11","AduFlatfish2",0,3.18292980246675,0.739,0.18,1.69,0.851672289881223,0.106508875739645,0.07
"12","OtherGroundfish",0,3.93787258239461,7.4,0.6,1.764,0.97995454464681,0.340136054421769,0.38
"13","Foragefish1",0,3.02536203515853,5.1,0.61,3.52,0.989449533911925,0.173295454545455,0.351
"14","Foragefish2",0,3.02536203515853,4.7,0.65,5.65,0.985802903436987,0.115044247787611,0.091
"15","OtherForagefish",0,3.02536203515853,5.1,1.5,3.6,0.957075028130773,0.416666666666667,0.031
"16","Megabenthos",0,3.12230902777778,19.7653839113683,0.9,2.984,0.8,0.301608579088472,0.19
"17","Shellfish",0,2.375,7,1.3,5.2,0.679756950411616,0.25,0.51
"18","Macrobenthos",0,2.5796875,17.4,7,20,0.986564013269184,0.35,1e-04
"19","Zooplankton",0,2.25,23,39,156,0.966474672747784,0.25,0
"20","Phytoplankton",1,1,10,240,0,0.90680915834702,0,0
"21","Detritus",2,1,3636.66731670927,0.5,0,0.528255217678192,0,0
"22","Discards",2,1,1.2182202,0.5,0,0.563235612083924,0,0
"23","Trawlers",3,4.76891740874402,0,0,0,0,0,0
"24","Midwater",3,4.1493605247166,0,0,0,0,0,0
"25","Dredgers",3,3.86331563668116,0,0,0,0,0,0
