Group,Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton
Seabirds,,,,,,,,,,,,,,,,,,,,
Whales,,,,,,,,,,,,,,,,,,,,
Seals,,,,,,,,,,,,,,,,,,,,
JuvRoundfish1,,0.05,0.05,0.01,,0.01,0.005,,,,,0.03,0.005,0.005,0.005,,,,,
AduRoundfish1,,,0.1,,,,,,,,,0.005,,,,,,,,
JuvRoundfish2,,0.05,0.05,0.01,0.05,0.01,0.005,,,,,0.03,0.005,0.005,0.005,,,,,
AduRoundfish2,,,0.2,,0.01,,,,,,,0.005,,,,,,,,
JuvFlatfish1,,0.05,0.005,0.01,0.05,0.01,0.01,0.005,0.05,0.005,0.01,0.02,0.005,0.005,0.005,,,,,
AduFlatfish1,,,0.05,,0.09,,0.01,,0.01,,,0.01,,,,,,,,
JuvFlatfish2,,0.05,0.005,0.01,0.01,0.01,0.01,0.005,0.05,0.005,0.01,0.02,0.005,0.005,0.005,,,,,
AduFlatfish2,,,0.05,,0.09,,0.01,,0.01,,,0.01,,,,,,,,
OtherGroundfish,0.1,,0.2,,0.2,,0.09,,0.05,,,0.05,,,,,,,,
Foragefish1,0.25,,0.05,,0.2,,0.05,,,,,0.1,,,,,,,,
Foragefish2,0.2,,0.05,,0.1,,0.05,,,,,0.1,,,,,,,,
OtherForagefish,0.15,0.1,0.05,0.05,0.2,0.05,0.05,0.005,0.03,0.005,0.01,0.25,,,,,,,,
Megabenthos,,,0.05,0.01,,0.01,0.25,0.01,0.15,0.01,0.15,0.1,,,,0.1,,,,
Shellfish,,,0.09,,,,0.01,,0.01,,0.01,0.01,,,,0.03,,0.01,,
Macrobenthos,,,,0.05,,0.05,0.35,0.41,0.44,0.41,0.44,0.25,,,,0.55,,0.25,,
Zooplankton,,0.7,,0.7,,0.7,,0.415,0.1,0.415,0.2,0.01,0.8,0.8,0.8,,0.3,0.2,0.2,
Phytoplankton,,,,0.1,,0.1,,0.1,,0.1,,,0.06,0.06,0.06,,0.5,,0.6,
Detritus,,,,0.05,,0.05,0.1,0.05,0.1,0.05,0.17,,0.12,0.12,0.12,0.32,0.2,0.54,0.2,
Discards,0.3,,,,,,,,,,,,,,,,,,,
