Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,PelDetFate,BenthDetFate,CP_Pollock_TWL,CP_PCOD_TWL,CP_PCOD_POTS,CP_PCOD_LGL,CP_OTHR_TRWL,CP_OTHR_LGL,CP_OTHR_POT,CV_PLCK_TWL,CV_PCOD_TWL,CV_PCOD_HAL,CV_PCOD_POT,CV_OTHR_TWL,CV_OTHR HAL,CV_OTHR_POT,HERR_gillnet,HERR_seine,CRAB_POT,CP_Pollock_TWL,CP_PCOD_TWL,CP_PCOD_POTS,CP_PCOD_LGL,CP_OTHR_TRWL,CP_OTHR_LGL,CP_OTHR_POT,CV_PLCK_TWL,CV_PCOD_TWL,CV_PCOD_HAL,CV_PCOD_POT,CV_OTHR_TWL,CV_OTHR HAL,CV_OTHR_POT,HERR_gillnet,HERR_seine,CRAB_POT
W. Pollock_Juv,0,4.492684,1.453281647,8.4045,,,0,0.2,,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Pollock_Adu,0,18.48621,0.66721,3.17,,,0,0.2,,0.4,0.6,0.231554561,0.006241365,4.14E-06,5.01E-03,5.99E-02,2.22E-06,0.00E+00,9.82E-01,0.023100034,1.24E-06,0.00E+00,0.000228807,3.88E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.083909499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Cod_Juv,0,0.1859541,1.782069,8.828409,,,0,0.2,,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Cod_Adu,0,2.464969,0.4118969,2.28,,,0,0.2,,0.4,0.6,0.086514261,0.004934888,0.002415146,0.077904381,0.034124978,0.000171574,1.01E-07,0.059459728,0.048169538,2.82E-03,0.00081393,0.000847998,0.000636433,2.04E-05,0,0,0,0,0.004789988,0.002344231,0.075616914,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring_Juv,0,0.1711577,1.051809,7.789666,,,0,0.2,,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring_Adu,0,0.611558,0.32,3.52,,,0,0.2,,0.4,0.6,0.00588198,0,0,0,0,0,0.00E+00,0.001712317,0,0.00E+00,0,0,0,0.00E+00,0.002613358,0.003851134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth_Juv,0,0.006611473,0.8101363,6.138721,,,0,0.2,,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth_Adu,0,1.000412,0.18,1.16,,,0,0.2,,0.4,0.6,0.017048484,3.80E-04,2.35E-07,0.004236237,0.007484847,1.46E-05,1.50E-07,1.94E-03,0.000360228,0.00E+00,0.00E+00,0.002875803,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0.00229607,0,0,0.000595787,0.000110504,0,0,0.000882189,0,0,0,0,0
Squids,0,,3.2,10.67,0.8,,0,0.2,,0.4,0.6,0,0,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Salmon returning,0,0.1637697,1.65,11.6,,,0,0.2,,0.4,0.6,0.022522425,0,0,0,0,0,0.00E+00,0.035938743,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
