Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Detritus,Discards,Fishery1,Fishery2,Fishery3,Fishery1,Fishery2,Fishery3
Apex Pred,0,0.035,0.1,3,,,0,0.2,,1,0,0,0,0.002,0.0005,0,0.0005
Piscivores,0,2,0.2,1.5,,,0,0.2,,1,0,0.25,0.01,0.01,0.001,0.001,0.001
Benthivores,0,3.50E+00,0.3,1.5,,,0,0.2,,1,0,0.3,0.01,0.01,0.05,0.2,0
Planktivores,0,4.5,0.35,4,,,0,0.2,,1,0,0.3,0,0.01,0.05,0,0
Megabenthos,0,3,0.6,3,,,0,0.2,,1,0,0,0.5,0,0.001,0.05,0
Macrobenthos,0,,7.4,,0.8,0.2,0,0.2,,1,0,0,0,0,0,0.05,0
Zooplankton,0,,6,27.74,0.8,,0,0.4,,1,0,0,0,0,0,0,0
Phytoplankton,1,10,166.4806,,,,0,0,,1,0,0,0,0,0,0,0
Detritus,2,,,,,,0,0,0,0,0,0,0,0,0,0,0
Discards,2,,,,,,0,0,0,1,0,0,0,0,0,0,0
Fishery 1,3,,,,,,,,,0,1,,,,,,
Fishery 2,3,,,,,,,,,0,1,,,,,,
Fishery 3,3,,,,,,,,,0,1,,,,,,
