Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Detritus,Discards,Trawlers,Midwater,Dredgers,Trawlers,Midwater,Dredgers
Seabirds,0,0.0149,0.0977,76.75,,,0,0.2,,1,0,0,0,0,0.00001,0,0
Whales,0,0.454,0.0312,6.976,,,0,0.2,,1,0,0,0,0,0.0000001,0,0
Seals,0,,0.1,34.45,0.8,,0,0.2,,1,0,0,0,0,0.001,0.001,0
JuvRoundfish1,0,0.13,2.026,8.414,,,0,0.2,,1,0,0,0,0,0.001,0.001,0.001
AduRoundfish1,0,1.39,0.42,2.19,,,0,0.2,,1,0,0.08,0,0,0.005,0.01,0.05
JuvRoundfish2,0,1.234,2.1,10.94,,,0,0.2,,1,0,0,0,0,0.001,0.001,0.001
AduRoundfish2,0,5.553,0.425,3.78,,,0,0.2,,1,0,0.32,0,0,0.009,0.01,0.05
JuvFlatfish1,0,0.0698,1.5,8.01,,,0,0.2,,1,0,0,0,0,0.001,0,0.001
AduFlatfish1,0,5.766,0.26,1.44,,,0,0.2,,1,0,0.09,0,0,0.04,0,0.05
JuvFlatfish2,0,0.0964,1.1,5.845,,,0,0.2,,1,0,0,0,0,0.001,0,0.001
AduFlatfish2,0,0.739,0.18,1.69,,,0,0.2,,1,0,0.05,0,0,0.01,0,0.01
OtherGroundfish,0,7.4,0.6,1.764,,,0,0.2,,1,0,0.2,0,0,0.08,0.05,0.05
Foragefish1,0,5.1,0.61,3.52,,,0,0.2,,1,0,0,0.3,0,0.001,0.05,0
Foragefish2,0,4.7,0.65,5.65,,,0,0.2,,1,0,0,0.08,0,0.001,0.01,0
OtherForagefish,0,5.1,1.5,3.6,,,0,0.2,,1,0,0,0.02,0,0.001,0.01,0
Megabenthos,0,,0.9,2.984,0.8,,0,0.2,,1,0,0,0,0.1,0,0,0.09
Shellfish,0,7,1.3,,,0.25,0,0.2,,1,0,0,0,0.5,0,0,0.01
Macrobenthos,0,17.4,7,,,0.35,0,0.2,,1,0,0,0,0,0,0,0.0001
Zooplankton,0,23,39,,,0.25,0,0.4,,1,0,0,0,0,0,0,0
Phytoplankton,1,10,240,,,,0,0,,1,0,0,0,0,0,0,0
Detritus,2,,,,,,0,0,0,0,0,0,0,0,0,0,0
Discards,2,,,,,,0,0,0,0,0,0,0,0,0,0,0
Trawlers,3,,,,,,,,,0,1,,,,,,
Midwater,3,,,,,,,,,0,1,,,,,,
Dredgers,3,,,,,,,,,0,1,,,,,,
