Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Detritus,Trawlers,Seiners,Shrimpers,Trawlers,Seiners,Shrimpers
Whales,0,0.08,0.05,9,0.4,,0,0.2,,1,0,0,0,0,0,0
Seals,0,0.0609,0.1539,15,0.35,,0,0.2,,1,0,0,0,0.001,0.001,0.001
JuvCod,0,1.2,0.35,2.8,,,0,0.2,,1,0,0,0,0.05,0.05,0.05
AduCod,0,3.00E+00,0.31,2.58,,,0,0.2,,1,0.45,0,0,0.05,0.05,0.05
Whiting,0,1.8,0.581,3.1,,,0,0.2,,1,0.2,0,0,0.001,0.05,0
Mackerel,0,1.2,0.7233334,4.4,,,0,0.2,,1,0,0.4,0,0,0.05,0
Anchovy,0,7,1.14875,9.13,,,0,0.2,,1,0,1.2,0,0,0.05,0
Shrimp,0,0.8,3,,,0.25,0,0.2,,1,0,0,0.5,0,0,0
Benthos,0,,3,,0.6,0.25,0,0.2,,1,0,0,0,0,0,0
Zooplankton,0,14.8,35,,,0.25,0,0.2,,1,0,0,0,0,0,0
Phytoplankton,1,9,240,,,,0,0,,1,0,0,0,0,0,0
Detritus,2,,,,,,0,0,0,0,0,0,0,0,0,0
Trawlers,3,,,,,,,,,1,,,,,,
Seiners,3,,,,,,,,,1,,,,,,
Shrimpers,3,,,,,,,,,1,,,,,,
