"","Group","TL","Biomass","PB","QB","EE","GE","Removals"
"1","Seabirds",3.50900447933458,0.0149,0.0977,76.75,0.0068694057277105,0.00127296416938111,1e-05
"2","Whales",3.36373971936918,0.454,0.0312,6.976,7.059753755789e-06,0.00447247706422018,1e-07
"3","Seals",4.49453133197104,0.0249999999999616,0.1,34.45,0.8,0.00290275761973875,0.002
"4","JuvRoundfish1",3.10999899040163,0.13,2.026,8.414,0.337900628749087,0.240789160922272,0.003
"5","AduRoundfish1",4.28942419748062,1.39,0.42,2.19,0.398133538882966,0.191780821917808,0.145
"6","JuvRoundfish2",3.10999899040163,1.234,2.1,10.94,0.0355176227521515,0.191956124314442,0.003
"7","AduRoundfish2",3.7680207989294,5.553,0.425,3.78,0.251266982341171,0.112433862433862,0.389
"8","JuvFlatfish1",3.20017680226483,0.0698,1.5,8.01,0.508493912129821,0.187265917602996,0.002
"9","AduFlatfish1",3.36789221824481,5.766,0.26,1.44,0.253143225539589,0.180555555555556,0.18
"10","JuvFlatfish2",3.20017680226483,0.0964,1.1,5.845,0.502068206337163,0.18819503849444,0.002
"11","AduFlatfish2",3.18292980246675,0.739,0.18,1.69,0.851662892797967,0.106508875739645,0.07
"12","OtherGroundfish",3.93787258239461,7.4,0.6,1.764,0.979951482882816,0.340136054421769,0.38
"13","Foragefish1",3.02536203515853,5.1,0.61,3.52,0.98944752491158,0.173295454545455,0.351
"14","Foragefish2",3.02536203515853,4.7,0.65,5.65,0.985800857610455,0.115044247787611,0.091
"15","OtherForagefish",3.02536203515853,5.1,1.5,3.6,0.957181442692803,0.416666666666667,0.031
"16","Megabenthos",3.12230902777778,19.7653730564514,0.9,2.984,0.8,0.301608579088472,0.19
"17","Shellfish",2.375,7,1.3,5.2,0.679755607364111,0.25,0.51
"18","Macrobenthos",2.5796875,17.4,7,20,0.986567687653927,0.35,1e-04
"19","Zooplankton",2.25,23,39,156,0.966489070596878,0.25,0
"20","Phytoplankton",1,10,240,0,0.906809855666667,0,0
"21","Detritus",1,3636.64682008918,0.5,0,0.528258649488866,0,0
"22","Discards",1,1.2182202,0.5,0,0.563235612083924,0,0
"23","Trawlers",4.76891740874402,0,0,0,0,0,0
"24","Midwater",4.1493605247166,0,0,0,0,0,0
"25","Dredgers",3.86331563668116,0,0,0,0,0,0
