Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,WhalesDC,GroundfishDC,Forage FishDC,ZooplanktonDC,PhytoDC,Catch,Discards,DetFate,DetExp
Whales,0,0.5,0.05,6,,0.008333333,0,0.2,0,0,0,0,0,0,0,0,1,0
Groundfish,0,10,0.5,2,,0.25,0,0.2,0,0.2,0.05,0,0,0,0.98,1.98,1,0
Forage Fish,0,NA,0.8,3.65,0.743333399,0.219178082,0,0.2,0,0.3,0.4,0,0,0,0.01,0.01,1,0
Zooplankton,0,NA,5,25,0.265080005,0.2,0,0.2,0,0.5,0.5,1,0,0,0.01,0.01,1,0
Phytoplankton,1,50,80,NA,,NA,0,0.2,0,0,0,0,0.95,0,0,0,1,0
Detritus,2,NA,NA,NA,,NA,0,0.2,0,0,0.05,0,0.05,0,0,0,0,1
Fisheries,3,NA,NA,NA,NA,NA,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA









,,,,,,
